"CVE","Title","Severity","KBArticles","AffectedProductCount"
"CVE-2026-21244","Windows Hyper-V Remote Code Execution Vulnerability","7.3","","0"
"CVE-2026-21243","Windows Lightweight Directory Access Protocol (LDAP) Denial of Service Vulnerability","7.5","","0"
"CVE-2026-21240","Windows HTTP.sys Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2026-21241","Windows Ancillary Function Driver for WinSock Elevation of Privilege Vulnerability","7.0","","0"
"CVE-2026-21239","Windows Kernel Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2026-21238","Windows Ancillary Function Driver for WinSock Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2026-21237","Windows Subsystem for Linux Elevation of Privilege Vulnerability","7.0","","0"
"CVE-2026-21232","Windows HTTP.sys Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2026-21231","Windows Kernel Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2026-21228","Azure Local Remote Code Execution Vulnerability","8.1","","0"
"CVE-2026-21222","Windows Kernel Information Disclosure Vulnerability","5.5","","0"
"CVE-2026-20846","GDI+ Denial of Service Vulnerability","7.5","","0"
"CVE-2026-20841","Windows Notepad App Remote Code Execution Vulnerability","7.8","","0"
"CVE-2026-2317","Chromium: CVE-2026-2317 Inappropriate implementation in Animation",,"","0"
"CVE-2026-26119","Windows Admin Center Elevation of Privilege Vulnerability","8.8","","0"
"CVE-2026-2650","Chromium: CVE-2026-2650 Heap buffer overflow in Media",,"","0"
